cov_nr,arm,arm_explanation,needs_discussion_arm,needs_discussion_arm_explanation,n,time_intervention_days,time_followup_days,time_total_days,needs_discussion_time,needs_discussion_time_explanation,diagnosis,gender_pct_female,gender_pct_male,gender_female_n,gender_male_n,needs_discussion_gender,needs_discussion_gender_explanation,age_mean,age_sd,age_se,age_other,bmi_mean,bmi_sd,bmi_other,bp_systolic_mean,bp_systolic_sd,bp_diastolic_mean,bp_diastolic_sd,bp_other,smoking_status,pack_years_mean,pack_years_sd,pack_years_other,smoking_status_other,fev1_pct_mean,fev1_pct_sd,fev1_other,disease_severity_other,healthcare_setting,healthcare_setting_explanation,healthcare_setting_confidence,healthcare_setting_confidence_explanation,health_literacy,health_literacy_instrument_name,health_literacy_instrument_value,health_literacy_instrument_other,digital_strategy_excludes,digital_strategy_excludes_explanation,digital_strategy_provides_equipment,digital_strategy_provides_equipment_explanation,needs_discussion_equipment,needs_discussion_equipment_explanation,digital_strategy_provides_training,digital_strategy_provides_training_explanation,digital_strategy_provides_ongoing_support,digital_strategy_provides_ongoing_support_explanation,digital_literacy,digital_literacy_possession,digital_literacy_frequency,digital_literacy_skills,ses,ses_income,ses_living_situation,ses_relationship_status,ses_job_status,ses_living_location,educational_level,ethnicity,_metadata,healthcare_setting_label
157,treat1,MyLung app with pulse oximeter and training,False,,11,30.0,0.0,30.0,False,,COPD,,,,,True,Only overall gender reported (52% female); per-arm values not available.,,,,"33-44 years: 9%, 45-54: 6%, 55-64: 33%, 65-74: 19%, older than 75: 33% (overall sample)",,,,,,,,,,,,,,,,,,3,home-based app use with training; monitoring dashboard may alert physicians but no ongoing clinical guidance described,low,No explicit description of clinical responsibility; delivery is home-based. Step 1 signals: delivery location (home) suggests 3; clinical responsibility not described. Step 2: no provider type or recruitment source clarifies. Coded as 3 as best guess.,0,,,,1,possession of a smartphone (Android or iPhone) required,0,,False,,1,training session to connect app with pulse oximeter and understand app features,0,,False,,,,False,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:47:37.462689', 'study_info': {'n_arms': 2, 'arm_labels': ['intervention', 'control']}}",Community
157,control,booklet-based information,False,,10,30.0,0.0,30.0,False,,COPD,,,,,True,Only overall gender reported (52% female); per-arm values not available.,,,,"33-44 years: 9%, 45-54: 6%, 55-64: 33%, 65-74: 19%, older than 75: 33% (overall sample)",,,,,,,,,,,,,,,,,,3,home-based booklet reading; no clinical guidance described,low,No explicit description of clinical responsibility; delivery is home-based. Step 1 signals: delivery location (home) suggests 3; clinical responsibility not described. Step 2: no provider type or recruitment source clarifies. Coded as 3 as best guess.,0,,,,1,possession of a smartphone (Android or iPhone) required,0,,False,,0,,0,,False,,,,False,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:47:37.462689', 'study_info': {'n_arms': 2, 'arm_labels': ['intervention', 'control']}}",Community
464,control,standard COPD service (home visits),False,,25,56.0,180.0,236.0,False,,COPD,72.0,28.0,18.0,7.0,False,,65.88,9.39,,"Median 68.00, IQR 58.85-72.85",,,,,,,,,,,,,,,,,SGRQ_total_mean: 65.34~SGRQ_total_sd: 13.68,2,home visits by hospital COPD discharge team,moderate,"Step 1 split: clinical responsibility lies with hospital COPD discharge team (suggests 2), but delivery is home-based (suggests 3). Step 2 provider type (hospital-employed clinicians deliver home visits) confirmed 2.",0,,,,0,,0,,False,,0,,0,,False,,,,False,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:49:18.733377', 'study_info': {'n_arms': 2, 'arm_labels': ['standard COPD service', 'telehealth-supported COPD service']}}",Secondary
464,treat1,telehealth-supported COPD service (Doc@Home device with remote monitoring),False,,28,56.0,180.0,236.0,False,,COPD,57.14,42.86,16.0,12.0,False,,67.22,11.6,,"Median 70.80, IQR 60.93-73.73",,,,,,,,,,,,,,,,,SGRQ_total_mean: 69.63~SGRQ_total_sd: 16.58,2,home-based telehealth with remote monitoring by hospital COPD discharge team,moderate,"Step 1 split: clinical responsibility lies with hospital COPD discharge team (suggests 2), but delivery is home-based (suggests 3). Step 2 provider type (hospital-employed clinicians deliver remote monitoring) confirmed 2.",0,,,,1,landline required (implied by discontinuation due to no landline),0,,False,,0,,0,,False,,,,False,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:49:18.733377', 'study_info': {'n_arms': 2, 'arm_labels': ['standard COPD service', 'telehealth-supported COPD service']}}",Secondary
469,treat1,12-week home rehabilitation with remote monitoring and weekly health coach calls,False,,188,84.0,84.0,168.0,False,,COPD,53.72,46.28,101.0,87.0,False,,69.335,9.53,,,28.561,7.144,,,,,,,Current: 8.7%,,,,,44.103,19.0,,CRQ_physical_mean: 3.8~CRQ_physical_sd: 1.18~CRQ_emotional_mean: 4.48~CRQ_emotional_sd: 1.18~CRQ_dyspnea_mean: 4.01~CRQ_dyspnea_sd: 1.42~CRQ_fatigue_mean: 3.57~CRQ_fatigue_sd: 1.2~CRQ_emotions_mean: 4.55~CRQ_emotions_sd: 1.17~CRQ_mastery_mean: 4.35~CRQ_mastery_sd: 1.41~mMRC_mean: 2.74~mMRC_sd: 0.82~SMAS_total_mean: 64.69~SMAS_total_sd: 12.87~PSQI_total_mean: 9.39~PSQI_total_sd: 3.58~other: PHQ-9 mean 6.11 (SD 4.8)~other: GAD2 mean 1.58 (SD 1.75)~steps_per_day_mean: 7148.66~steps_per_day_sd: 3108.48~light_physical_activity_min_mean: 493.35~light_physical_activity_min_sd: 116.38~moderate_physical_activity_min_mean: 82.63~moderate_physical_activity_min_sd: 61.7~total_sleep_time_min_mean: 82.63~total_sleep_time_min_sd: 61.7~LTOT_pct: 28.1%~other: long-acting bronchodilators: 150 (81.1%)~other: inhaled corticosteroids: 176 (95.1%)~other: long-term antibiotics: 49 (26.5%)~other: long-term prednisone: 43 (23.2%)~other: depression/anxiety meds: 75 (40.5%),2,home-based remote monitoring with weekly health coach calls; clinical responsibility lies with hospital pulmonology team at Mayo Clinic; participants recruited from outpatient clinics,moderate,"Step 1 split: clinical responsibility suggests 2 (hospital specialist), delivery location suggests 3 (home-based). Step 2 provider type (health coaches supervised by research team at Mayo) and recruitment source (outpatient clinics) confirmed 2.",0,,,,0,,1,"computer tablet with Wi-Fi/cellular, Garmin Vivofit activity monitor, and Nonin 3150 oximeter provided",False,,0,,0,,False,,,,True,"Income ≤$30,000: 30.1%",Living alone: 31.6%,Married: 58.6%,,,High school or less: 25.7%,Hispanic or Latino: 1.1%~Not Hispanic or Latino: 96.3%~Unknown/not reported: 2.7%~White: 94.1%,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:49:05.805865', 'study_info': {'n_arms': 2, 'arm_labels': ['control/wait', 'intervention now']}}",Secondary
469,control,12-week usual care with self-study educational packet,False,,187,84.0,84.0,168.0,False,,COPD,59.36,40.64,111.0,76.0,False,,68.676,9.53,,,29.129,7.307,,,,,,,Current: 7.3%,,,,,45.274,18.87,,CRQ_physical_mean: 3.94~CRQ_physical_sd: 1.13~CRQ_emotional_mean: 4.5~CRQ_emotional_sd: 1.19~CRQ_dyspnea_mean: 4.21~CRQ_dyspnea_sd: 1.42~CRQ_fatigue_mean: 3.62~CRQ_fatigue_sd: 1.18~CRQ_emotions_mean: 4.57~CRQ_emotions_sd: 1.19~CRQ_mastery_mean: 4.38~CRQ_mastery_sd: 1.4~mMRC_mean: 2.64~mMRC_sd: 0.86~SMAS_total_mean: 64.19~SMAS_total_sd: 12.69~PSQI_total_mean: 9.33~PSQI_total_sd: 3.52~other: PHQ-9 mean 6.02 (SD 5.44)~other: GAD2 mean 1.48 (SD 1.76)~steps_per_day_mean: 7117.01~steps_per_day_sd: 3212.03~light_physical_activity_min_mean: 493.98~light_physical_activity_min_sd: 101.73~moderate_physical_activity_min_mean: 85.77~moderate_physical_activity_min_sd: 71.26~total_sleep_time_min_mean: 85.77~total_sleep_time_min_sd: 71.26~LTOT_pct: 32.3%~other: long-acting bronchodilators: 144 (79.6%)~other: inhaled corticosteroids: 165 (91.7%)~other: long-term antibiotics: 38 (20.9%)~other: long-term prednisone: 34 (18.7%)~other: depression/anxiety meds: 75 (41.2%),2,usual care at outpatient clinics (recruitment sites Mayo Clinic and Health Partners),moderate,"Only recruitment source available (outpatient clinics, suggests 2). Clinical responsibility and delivery location not explicitly described for control arm; inherited from recruitment setting.",0,,,,0,,0,,False,,0,,0,,False,,,,True,"Income ≤$30,000: 33.7%",Living alone: 32.5%,Married: 60.4%,,,High school or less: 40.9%,Hispanic or Latino: 0.5%~Not Hispanic or Latino: 96.8%~Unknown/not reported: 2.7%~White: 96.3%,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:49:05.805865', 'study_info': {'n_arms': 2, 'arm_labels': ['control/wait', 'intervention now']}}",Secondary
474,treat1,home-based program with health coaching,False,,72,56.0,180.0,236.0,False,,COPD,52.78,47.22,38.0,34.0,False,,69.4,8.1,,,,,,,,,,,,,,,,43.3,18.7,,"FVC_pct_mean: 74.3~FVC_pct_sd: 24.3~RV_pct_mean: 179.6~RV_pct_sd: 57.1~mMRC_distribution: 0: 0 (0.00%), 1: 12 (19.67%), 2: 13 (21.31%), 3: 31 (50.82%), 4: 5 (8.20%)~CRQ_dyspnea_mean: 4.5~CRQ_dyspnea_sd: 1.5~CRQ_fatigue_mean: 3.9~CRQ_fatigue_sd: 1.3~CRQ_mastery_mean: 4.8~CRQ_mastery_sd: 1.3~CRQ_emotion_mean: 4.9~CRQ_emotion_sd: 1.0~steps_per_day_mean: 3547.3~steps_per_day_sd: 1835.8~sedentary_min_per_day_mean: 1167.4~sedentary_min_per_day_sd: 11.4~SMAS_30_total_mean: 63.9~SMAS_30_total_sd: 12.6",3,home-based intervention with health coaching via telephone; no ongoing clinical ownership described,moderate,"Step 1: delivery location is home (suggests 3), clinical responsibility not explicitly stated. Step 2: provider type is health coach (not a clinician with ongoing clinical ownership), confirming 3.",2,SMAS-30,63.9,SD 12.6,0,,1,"Android tablet with cellular service, pulse oximeter, and Garmin activity monitor provided",False,,0,,1,health coach provided troubleshooting for technology issues,True,smartphone or computer comfort: 83%,,,True,,,Married: 44 (61.11%),,,Post-secondary education: 36 (50.00%)~missing (inferred): 36,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:57:01.232567', 'study_info': {'n_arms': 2, 'arm_labels': ['intervention', 'control']}}",Community
474,control,wait-list control,False,,74,56.0,180.0,236.0,False,,COPD,50.0,50.0,37.0,37.0,False,,68.5,9.1,,,,,,,,,,,,,,,,42.4,15.3,,"FVC_pct_mean: 70.1~FVC_pct_sd: 18~RV_pct_mean: 179.4~RV_pct_sd: 47.9~mMRC_distribution: 0: 1 (1.47%), 1: 11 (16.18%), 2: 13 (19.12%), 3: 40 (58.82%), 4: 3 (4.41%)~CRQ_dyspnea_mean: 4.6~CRQ_dyspnea_sd: 1.2~CRQ_fatigue_mean: 3.7~CRQ_fatigue_sd: 1.3~CRQ_mastery_mean: 4.7~CRQ_mastery_sd: 1.4~CRQ_emotion_mean: 4.6~CRQ_emotion_sd: 1.2~steps_per_day_mean: 4426.3~steps_per_day_sd: 2628.3~sedentary_min_per_day_mean: 1123.9~sedentary_min_per_day_sd: 149.5~SMAS_30_total_mean: 65.4~SMAS_30_total_sd: 12.8",3,wait-list control; no intervention during control period; participants recruited from outpatient clinic,moderate,Step 1: no intervention delivered during control period; clinical responsibility not described. Step 2: recruitment from outpatient clinic (suggests 2) but no ongoing clinical involvement during control period; coded 3 as no care was delivered.,2,SMAS-30,65.4,SD 12.8,0,,0,,False,,0,,0,,True,smartphone or computer comfort: 79%,,,True,,,Married: 51 (68.92%),,,Post-secondary education: 38 (51.35%)~missing (inferred): 36,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:57:01.232567', 'study_info': {'n_arms': 2, 'arm_labels': ['intervention', 'control']}}",Community
498,treat1,"telerehabilitation with nurse and physiotherapist tutoring, pulse oximeter, ECG, mini-ergometer, pedometer",False,,56,120.0,60.0,180.0,False,,COPD~CHF,10.71,89.29,6.0,50.0,True,"Printed male % 88% vs recomputed 89.29% (50/56), difference >1pp",71.0,9.0,,,28.5,5.8,,,,,,,,,,,,66.6,18.6,,"GOLD_stage: IB: 19 (33.93%), IC: 1 (1.79%), IIB: 20 (35.71%), IIC: 2 (3.57%), IIIC: 2 (3.57%), IIID: 2 (3.57%), IVB: 1 (1.79%), IVD: 9 (16.07%)~NYHA_class: II: 25 (44.64%), III: 22 (39.29%), IV: 9 (16.07%)~other: EF% pred: 44.5 (12.4)~FVC_pct_mean: 80.9~FVC_pct_sd: 18.3~FEV1_FVC_ratio_mean: 60~FEV1_FVC_ratio_sd: 10.2~LTOT_pct: 48.21%~MRC_mean: 2.8~MRC_sd: 0.98~PaCO2_mean: 38.2~PaCO2_sd: 9.6~other: FiO2: 21.6 (2.7)~other: PaO2/FiO2: 365 (69)~other: pH: 7.44 (0.05)~SpO2_mean: 95.7~SpO2_sd: 2.4~other: MLHFQ: 34.4 (17.3)~CAT_mean: 15.7~CAT_sd: 6.2~Barthel_mean: 89.9~Barthel_sd: 12.9~6MWD_mean: 329~6MWD_sd: 115~other: PASE: 95.8 (65.7)",2,home-based telerehabilitation with remote specialist support from cardiologist and pulmonologist; patients recruited from in-hospital rehabilitation,moderate,"Step 1 split: clinical responsibility by hospital specialists (suggests 2), delivery at home (suggests 3). Step 2 provider type (hospital-employed NT/PT) and recruitment (in-hospital) confirmed 2.",0,,,,0,,0,,True,Unclear if telephone for weekly calls and emergency contact is provided by trial or participant-owned,0,,0,,False,,,,False,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:48:16.218226'}",Secondary
498,control,"standard care including medications, oxygen, GP visits, in-hospital check-ups, educational session on healthy lifestyle and physical activity",False,,56,120.0,60.0,180.0,False,,COPD~CHF,25.0,75.0,14.0,42.0,False,,70.0,9.5,,,27.7,5.4,,,,,,,,,,,,66.1,16.4,,"GOLD_stage: IB: 15 (26.79%), IC: 0 (0.00%), IIB: 26 (46.43%), IIC: 0 (0.00%), IIIC: 0 (0.00%), IIID: 5 (8.93%), IVB: 1 (1.79%), IVD: 9 (16.07%)~NYHA_class: II: 29 (51.79%), III: 19 (33.93%), IV: 8 (14.29%)~other: EF% pred: 43.3 (13.2)~FVC_pct_mean: 78.8~FVC_pct_sd: 17.6~FEV1_FVC_ratio_mean: 62~FEV1_FVC_ratio_sd: 8.9~LTOT_pct: 46.43%~MRC_mean: 2.7~MRC_sd: 0.98~PaCO2_mean: 38.6~PaCO2_sd: 6.7~other: FiO2: 22.1 (3.4)~other: PaO2/FiO2: 341 (69)~other: pH: 7.44 (0.03)~SpO2_mean: 94.9~SpO2_sd: 2.0~other: MLHFQ: 35.6 (17.4)~CAT_mean: 15.4~CAT_sd: 6.4~Barthel_mean: 91.9~Barthel_sd: 8.2~6MWD_mean: 308~6MWD_sd: 105~other: PASE: 78.2 (42.3)",2,standard care including GP visits and in-hospital check-ups; patients recruited from in-hospital rehabilitation,moderate,"Step 1: clinical responsibility shared between GP and hospital (suggests 1 or 2), delivery at home and hospital (suggests 1 or 2). Step 2 recruitment from in-hospital rehabilitation and in-hospital check-ups suggest 2. Coded 2.",0,,,,0,,0,,False,,0,,0,,False,,,,False,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:48:16.218226'}",Secondary
