cov_nr,n_arms,total_n,age_mean,fev1_pct_mean,bmi_mean,gender_pct_female,healthcare_setting,healthcare_setting_label,age_mean_n_missing_arms,fev1_pct_mean_n_missing_arms,bmi_mean_n_missing_arms,gender_pct_female_n_missing_arms,publication_year,country
157,2,21,,,,,3.0,Community,2,2,2,2,2019,USA
464,2,53,66.58792452830188,,,64.14943396226415,2.0,Secondary,0,2,2,0,2014,UK
469,2,375,69.00637866666666,44.68693866666666,28.844242666666666,56.53248,2.0,Secondary,0,0,0,0,2022,USA
474,2,146,68.94383561643835,42.843835616438355,,51.370958904109585,3.0,Community,0,0,2,0,2021,USA
498,2,112,70.5,66.35,28.099999999999998,17.855,2.0,Secondary,0,0,0,0,2018,Italy
558,2,87,67.58045977011494,52.54482758620689,,37.93034482758621,2.0,Secondary,0,0,2,0,2019,Netherlands
602,2,90,69.76444444444444,58.72222222222222,,34.446444444444445,2.0,Secondary,0,0,2,0,2017,UK
641,2,60,69.83500000000001,32.035,28.285,61.66499999999999,2.0,Secondary,0,0,0,0,2018,New Zealand
770,2,155,71.16129032258064,41.83870967741935,26.225806451612904,16.774193548387096,2.0,Secondary,0,0,0,0,2006,Belgium and Spain
792,2,54,69.95,34.449999999999996,,42.589999999999996,2.0,Secondary,0,0,2,0,2022,Denmark
825,2,103,66.24854368932039,56.83203883495146,28.606796116504853,31.068640776699027,2.0,Secondary,0,0,0,0,2017,UK
1067,2,142,67.5,61.0,28.0,53.52499999999999,2.0,Secondary,0,0,0,0,2022,Australia
1080,2,60,66.15833333333333,,,48.33183333333333,,Mixed: Secondary / Community,0,2,2,0,2020,UK
1203,2,71,72.47887323943662,,,52.11352112676056,3.0,Community,0,2,2,0,2013,Australia
1228,2,343,66.50145772594752,56.00291545189504,26.29883381924198,36.153090379008745,2.0,Secondary,0,0,0,0,2017,"Europe (Belgium, Greece, UK, Switzerland, Netherlands)"
1288,2,105,,,,,2.0,Secondary,2,2,2,2,2012,Denmark
1400,2,4141,71.97101424776625,,,52.012354503743055,2.0,Secondary,0,2,2,0,2015,Denmark
1537,2,166,69.8,48.31084337349398,28.768674698795184,38.5544578313253,2.0,Secondary,0,0,0,0,2017,UK
1672,2,94,62.65744680851063,44.020212765957446,27.15574468085107,32.97744680851064,2.0,Secondary,0,0,0,0,2021,Spain
1800,2,134,,,,,2.0,Secondary,2,2,2,2,2020,Denmark
1952,2,90,69.86555555555555,47.459999999999994,,52.223222222222226,,Mixed: Primary / Community,0,0,2,0,2017,Denmark
2003,2,134,68.30000000000001,33.150000000000006,25.700000000000003,55.224999999999994,2.0,Secondary,0,0,0,0,2020,Denmark
2125,2,106,80.2,62.0,20.2,23.585,,Mixed: Primary / Secondary,0,0,0,0,2016,Taiwan
2172,2,30,67.0,43.0,27.0,43.33500000000001,2.0,Secondary,0,0,0,0,2015,Belgium
2391,2,57,,,,61.4019298245614,2.0,Secondary,2,2,2,0,2015,Denmark
2430,2,62,66.51935483870967,51.36129032258064,27.309677419354838,22.58225806451613,2.0,Secondary,0,0,0,0,2013,Germany
2667,2,319,66.94451410658307,37.089028213166145,26.44451410658307,30.407492163009405,2.0,Secondary,0,0,0,0,2018,"France, Germany, Italy, Spain"
2793,2,40,65.8,32.35,,52.5,2.0,Secondary,0,0,2,0,2009,USA
2815,2,198,69.48989898989899,39.43484848484849,23.391919191919193,61.11237373737374,2.0,Secondary,0,0,0,0,2023,Denmark
2821,2,116,69.85862068965517,48.658620689655166,,51.7248275862069,,Mixed: Primary / Community,0,0,2,0,2016,Denmark
3048,2,40,,39.0,,50.0,1.0,Primary,2,0,2,0,2010,UK
3089,3,150,65.43333333333334,48.833333333333336,24.233333333333334,22.666666666666668,2.0,Secondary,0,0,0,0,2022,China
3116,2,1225,69.96971428571428,48.069714285714284,,54.12257959183674,,Mixed: Primary / Community,0,0,2,0,2017,Denmark
3162,2,48,72.10000000000001,45.6,23.2,0.0,2.0,Secondary,0,0,0,0,2008,Taiwan
3182,2,73,64.02739726027397,49.49315068493151,25.013698630136986,42.468356164383565,2.0,Secondary,0,0,0,0,2023,Belgium
3535,2,116,69.0,51.0,26.75,31.034999999999997,2.0,Secondary,0,0,0,0,2020,Spain
3630,2,238,66.78823529411765,,,6.298235294117647,3.0,Community,0,2,2,0,2016,USA
4104,3,125,68.664,51.1352,27.2784,45.599199999999996,2.0,Secondary,0,0,0,0,2013,USA
4106,2,39,69.48717948717949,49.666666666666664,28.528205128205126,43.59205128205129,2.0,Secondary,0,0,0,0,2008,USA
4108,2,17,68.23529411764706,40.911764705882355,25.68823529411765,64.70764705882353,2.0,Secondary,0,0,0,0,2009,USA
4123,2,22,64.5,55.5,31.5,0.0,2.0,Secondary,0,0,0,0,2012,USA
4194,2,83,67.89156626506023,59.51807228915663,,43.372650602409635,1.0,Primary,0,0,2,0,2019,Sweden
4337,2,120,68.2,,,68.33,2.0,Secondary,0,2,2,0,2013,Canada
4345,2,42,67.88333333333334,65.02380952380952,,21.430476190476192,2.0,Secondary,0,0,2,0,2020,Korea
4475,2,256,68.9,42.0,,54.685,2.0,Secondary,0,0,2,0,2013,UK
4724,2,132,63.596969696969694,,,44.694545454545455,2.0,Secondary,0,2,2,0,2016,USA
4727,2,578,71.79816608996539,,,43.596020761245676,1.0,Primary,0,2,2,0,2017,UK
4736,2,153,69.81176470588235,61.05882352941177,,7.190000000000001,2.0,Secondary,0,0,2,0,2021,USA
4876,3,173,68.57080924855491,,22.945664739884396,64.1628901734104,,Mixed: Primary / Secondary,0,3,0,0,2023,Norway
4986,2,44,70.5,41.5,,59.095,2.0,Secondary,0,0,2,0,2014,Denmark
5203,2,229,71.40043668122271,33.20436681222708,,19.649170305676854,2.0,Secondary,0,0,2,0,2018,Spain
5232,3,122,72.16836065573771,,,45.08032786885245,2.0,Secondary,0,3,3,0,2020,Canada
5339,2,24,63.44999999999999,,26.75,50.0,2.0,Secondary,0,2,0,0,2014,Netherlands
5343,2,30,66.64000000000001,52.806666666666665,28.826666666666664,36.668,2.0,Secondary,0,0,0,0,2014,Netherlands
5534,2,36,73.94444444444444,63.77777777777778,28.0,50.00083333333333,2.0,Secondary,0,0,0,0,2017,Australia
5563,2,1225,69.96196734693878,48.05386938775511,,54.12257959183674,,Mixed: Primary / Community,0,0,2,0,2017,Denmark
5660,3,147,65.8455782312925,51.06258503401361,27.285714285714285,19.046666666666667,2.0,Secondary,0,0,0,0,2017,Greece
5737,2,157,62.46496815286624,56.210191082802545,27.235031847133754,50.31617834394904,1.0,Primary,0,0,0,0,2016,Netherlands
5777,2,26,71.66923076923078,58.4923076923077,23.53076923076923,0.0,2.0,Secondary,0,0,0,0,2014,Taiwan
5787,2,78,63.800000000000004,44.550000000000004,,29.485,2.0,Secondary,0,0,2,0,2021,China
5973,2,86,69.48837209302326,43.51162790697674,,38.37279069767442,,Mixed: Secondary / Community,0,0,2,0,2019,Australia
5974,2,95,69.51578947368421,43.0,24.96842105263158,42.10421052631579,2.0,Secondary,0,0,0,0,2018,Australia
6039,2,240,65.03500000000001,41.029999999999994,,36.665,2.0,Secondary,0,0,2,0,2018,China
6159,3,120,64.13333333333334,41.766666666666666,27.0,45.0,,Mixed: Secondary / Community,0,0,0,0,2023,"Norway, Australia, Denmark"
