cov_nr,total_n,age_mean,gender_pct_female,fev1_pct_mean,bmi_mean
157,21,,,,
464,53,66.58792452830188,64.14943396226415,,
469,375,69.00637866666666,56.53248,44.68693866666666,28.844242666666666
474,146,68.94383561643835,51.370958904109585,42.843835616438355,
498,112,70.5,17.855,66.35,28.099999999999998
558,87,67.58045977011494,37.93034482758621,52.54482758620689,
602,90,69.76444444444444,34.446444444444445,58.72222222222222,
641,60,69.83500000000001,61.66499999999999,32.035,28.285
770,155,71.16129032258064,16.774193548387096,41.83870967741935,26.225806451612904
792,54,69.95,42.589999999999996,34.449999999999996,
825,103,66.24854368932039,31.068640776699027,56.83203883495146,28.606796116504853
1067,142,67.5,53.52499999999999,61.0,28.0
1080,60,66.15833333333333,48.33183333333333,,
1203,71,72.47887323943662,52.11352112676056,,
1228,343,66.50145772594752,36.153090379008745,56.00291545189504,26.29883381924198
1288,105,,,,
1400,4141,71.97101424776625,52.012354503743055,,
1537,166,69.8,38.5544578313253,48.31084337349398,28.768674698795184
1672,94,62.65744680851063,32.97744680851064,44.020212765957446,27.15574468085107
1800,134,,,,
1952,90,69.86555555555555,52.223222222222226,47.459999999999994,
2003,134,68.30000000000001,55.224999999999994,33.150000000000006,25.700000000000003
2125,106,80.2,23.585,62.0,20.2
2172,30,67.0,43.33500000000001,43.0,27.0
2391,57,,61.4019298245614,,
2430,62,66.51935483870967,22.58225806451613,51.36129032258064,27.309677419354838
2667,319,66.94451410658307,30.407492163009405,37.089028213166145,26.44451410658307
2793,40,65.8,52.5,32.35,
2815,198,69.48989898989899,61.11237373737374,39.43484848484849,23.391919191919193
2821,116,69.85862068965517,51.7248275862069,48.658620689655166,
3048,40,,50.0,39.0,
3089,150,65.43333333333334,22.666666666666668,48.833333333333336,24.233333333333334
3116,1225,69.96971428571428,54.12257959183674,48.069714285714284,
3162,48,72.10000000000001,0.0,45.6,23.2
3182,73,64.02739726027397,42.468356164383565,49.49315068493151,25.013698630136986
3535,116,69.0,31.034999999999997,51.0,26.75
3630,238,66.78823529411765,6.298235294117647,,
4104,125,68.664,45.599199999999996,51.1352,27.2784
4106,39,69.48717948717949,43.59205128205129,49.666666666666664,28.528205128205126
4108,17,68.23529411764706,64.70764705882353,40.911764705882355,25.68823529411765
4123,22,64.5,0.0,55.5,31.5
4194,83,67.89156626506023,43.372650602409635,59.51807228915663,
4337,120,68.2,68.33,,
4345,42,67.88333333333334,21.430476190476192,65.02380952380952,
4475,256,68.9,54.685,42.0,
4724,132,63.596969696969694,44.694545454545455,,
4727,578,71.79816608996539,43.596020761245676,,
4736,153,69.81176470588235,7.190000000000001,61.05882352941177,
4876,173,68.57080924855491,64.1628901734104,,22.945664739884396
4986,44,70.5,59.095,41.5,
5203,229,71.40043668122271,19.649170305676854,33.20436681222708,
5232,122,72.16836065573771,45.08032786885245,,
5339,24,63.44999999999999,50.0,,26.75
5343,30,66.64000000000001,36.668,52.806666666666665,28.826666666666664
5534,36,73.94444444444444,50.00083333333333,63.77777777777778,28.0
5563,1225,69.96196734693878,54.12257959183674,48.05386938775511,
5660,147,65.8455782312925,19.046666666666667,51.06258503401361,27.285714285714285
5737,157,62.46496815286624,50.31617834394904,56.210191082802545,27.235031847133754
5777,26,71.66923076923078,0.0,58.4923076923077,23.53076923076923
5787,78,63.800000000000004,29.485,44.550000000000004,
5973,86,69.48837209302326,38.37279069767442,43.51162790697674,
5974,95,69.51578947368421,42.10421052631579,43.0,24.96842105263158
6039,240,65.03500000000001,36.665,41.029999999999994,
6159,120,64.13333333333334,45.0,41.766666666666666,27.0
