Cov nr;Year;Country
#157 ;2019;USA
#464;2014;UK
#469;2022;USA
#474;2021;USA
#498;2018;Italy
#558;2019;Netherlands
#602;2017;UK
#641;2018;New Zealand
#770;2006;Belgium and Spain
#792;2022;Denmark
#825;2017;UK
#1067;2022;Australia
#1080;2020;UK
#1203;2013;Australia
#1228;2017;Europe (Belgium, Greece, UK, Switzerland, Netherlands)
#1288;2012;Denmark
"	#1400";2015;Denmark
#1537;2017;UK
#1672;2021;Spain
#1800;2020;Denmark
#1952;2017;Denmark
#2003;2020;Denmark
#2125;2016;Taiwan
#2172;2015;Belgium
#2391;2015;Denmark
#2430;2013;Germany
#2667;2018;France, Germany, Italy, Spain
#2793;2009;USA
#2815;2023;Denmark
#2821 ;2016;Denmark
#3048;2010;UK
#3089;2022;China
#3116;2017;Denmark
#3162;2008;Taiwan
#3182;2023;Belgium
#3535;2020;Spain
#3630;2016;USA
#4106;2008;USA
#4108;2009;USA
#4104;2013;USA
#4123;2012;USA
#4194;2019;Sweden
#4337;2013;Canada
#4345;2020;Korea
#4475;2013;UK
#4724;2016;USA
#4727;2017;UK
#4736;2021;USA
#4876;2023;Norway
#4986;2014;Denmark
#5203;2018;Spain
#5232;2020;Canada
#5339;2014;Netherlands
#5343;2014;Netherlands
#5534;2017;Australia
#5563;2017;Denmark
#5660 ;2017;Greece
#5712;2009;Italy
#5737;2016;Netherlands
#5777;2014;Taiwan
#5787;2021;China
#5973;2019;Australia
#5974 ;2018;Australia
#6039;2018;China
#6159;2023;Norway, Australia, Denmark
