cov_nr,arm,n,time_total_days,diagnosis,gender_pct_female,age_mean,age_sd,age_se,fev1_pct_mean,fev1_pct_sd,age_other,healthcare_setting,health_literacy,digital_literacy,ses,educational_level,ethnicity
0157,control,10,30,COPD,52.0,,,,,,"9% were 33-44 years old, 6% were 45-54 years old, 33% were
55-64 years old, 19% were 65-74 years old, and 33% were older
than 75 years",3,,,,,
0157,treat1,11,30,COPD,52.0,,,,,,"9% were 33-44 years old, 6% were 45-54 years old, 33% were
55-64 years old, 19% were 65-74 years old, and 33% were older
than 75 years",3,,,,,
0464,control,25,180,COPD,72.0,65.88,9.39,,,,,1,,,,,
0464,treat1,23,180,COPD,57.1,67.22,11.6,,,,,3,,,,,
0469,control,143,84,COPD,59.4,68.676,9.53,,45.274,18.87,,3,,,"Income <$30,000 n (%)
55 (33.7)
Married, n (%)
102 (60.4)","High school or less, n (%) 67 (40.9)","Hispanic or Latino 1 (0.5)
Not Hispanic or Latino  181 (96.8)
Unknown/not reported  5 (2.7) 
White 180 (96.3)"
0469,treat1,142,84,COPD,53.7,69.335,9.53,,44.103,19.0,,3,,,"Income <$30,000 n (%)
50 (30.1)
Married, n (%) 
102 (58.6)","High school or less, n (%) 44 (25.7)","Hispanic or Latino 2 (1.1)
Not Hispanic or Latino 181 (96.3) 
Unknown/not reported 5 (2.7) 
White 177 (94.1)"
0474,control,63,56,COPD,50.0,68.5,9.1,,42.4,15.3,,3,,,"Married, N (%) 
51 (69)
","Post-secondary education 
38 (51)
",
0474,treat1,56,56,COPD,53.0,69.4,8.1,,43.3,18.7,,3,,,"Married, N (%) 
44 (61) ","Post-secondary education
36 (50) ",
0498,control,35,120,COPD+,25.0,70.0,9.5,,66.1,16.4,,3,,,,,
0498,treat1,45,120,COPD+,12.0,71.0,9.0,,66.6,18.6,,3,,,,,
0558,control,40,365,COPD,34.0,65.9,8.9,,52.1,19.8,,3,,,"Low education level, n (%) 17 (39)
Currently working, n (%) 10 (23)",,
0558,treat1,36,365,COPD,42.0,69.3,8.8,,53.0,21.5,,3,,,"Low education level, n (%) 19 (44)
Currently working, n (%) 6 (14)",,
0602,control,26,42,COPD,31.0,71.4,8.6,,60.5,20.1,,2,,,,,
0602,treat1,64,42,COPD,38.0,69.1,7.9,,58.0,23.6,,3,,,,,
0641,control,27,120,COPD,60.0,69.1,9.85,,30.27,12.59,,3,Medication Adherence Report Scale: 22.30 D 3.76,,"Inclusion criteria were as follows: [...] living alone or with spouse who is also largely housebound, geographic rural location, poor social support [...].",,"Ethnicity, n (%)  
New Zealand European 16 (52)
Māori 10 (33)
Pacific Island 1 (3)
Other 3 (10)"
0641,treat1,25,120,COPD,63.0,70.57,10.34,,33.8,13.61,,3,Medication Adherence Report Scale: 21.43 D 4.15,,"Inclusion criteria were as follows: [...] living alone or with spouse who is also largely housebound, geographic rural location, poor social support [...].",,"Ethnicity, n (%)  
New Zealand European 15 (50)
Māori 8 (27)
Pacific Island 4 (13)
Other 3 (10)"
0770,control,90,365,COPD,12.0,72.0,9.0,,41.0,15.0,,2,"Knowledge-name and cause of the disease, 58 (65)",,"Annual income <6000 EUR, 16 (24)","Education less than primary, n(%) 20 (22)",
0770,treat1,65,365,COPD,23.0,70.0,9.0,,43.0,20.0,,3,"Knowledge-name and cause of the disease,  45 (69) ",,"Annual income <6000 EUR, 7 (13)","Education less than primary, n(%) 16 (25)",
