cov_nr	arm	arm_explanation	needs_discussion_arm	needs_discussion_arm_explanation	n	time_intervention_days	time_followup_days	time_total_days	needs_discussion_time	needs_discussion_time_explanation	diagnosis	gender_pct_female	gender_pct_male	gender_female_n	gender_male_n	needs_discussion_gender	needs_discussion_gender_explanation	age_mean	age_sd	age_se	age_other	bmi_mean	bmi_sd	bmi_other	bp_systolic_mean	bp_systolic_sd	bp_diastolic_mean	bp_diastolic_sd	bp_other	smoking_status	pack_years_mean	pack_years_sd	pack_years_other	smoking_status_other	fev1_pct_mean	fev1_pct_sd	fev1_other	disease_severity_other	healthcare_setting	healthcare_setting_explanation	healthcare_setting_confidence	healthcare_setting_confidence_explanation	health_literacy	health_literacy_instrument_name	health_literacy_instrument_value	health_literacy_instrument_other	digital_strategy_excludes	digital_strategy_excludes_explanation	digital_strategy_provides_equipment	digital_strategy_provides_equipment_explanation	needs_discussion_equipment	needs_discussion_equipment_explanation	digital_strategy_provides_training	digital_strategy_provides_training_explanation	digital_strategy_provides_ongoing_support	digital_strategy_provides_ongoing_support_explanation	digital_literacy	digital_literacy_possession	digital_literacy_frequency	digital_literacy_skills	ses	ses_income	ses_living_situation	ses_relationship_status	ses_job_status	ses_living_location	educational_level	ethnicity	_metadata
1228	control	usual care group (UCG)	FALSE	FALSE	172	84	0	84	FALSE	NA	COPD	37	63	64	108	FALSE	NA	67	8	NA	NA	25,9	4,8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57	21	NA	NA	2	usual care, hospital inclusion	moderate	wide range of disease severity, patients could see primary care as well.	0	NA	NA	NA	TRUE	exclusion for inability to undertsand or operate a smartphone device	FALSE	control	FALSE	NA	FALSE	control	FALSE	control	0	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	
1228	treat1	telecoaching intervention group (IG)	FALSE	FALSE	171	84	0	84	FALSE	NA	COPD	35	65	60	111	FALSE	NA	66	8	NA	NA	26,7	5,3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55	20	NA	NA	2	usual care, + intervention. Intervention mainly home delivered, but feedback from investigator and telephone contacts in the case of non-compliance of wearing wearable.	moderate	could be considered community based, app guides participant.	0	NA	NA	NA	TRUE	exclusion for inability to undertsand or operate a smartphone device	TRUE	smartphone with app, step counter	FALSE	NA	FALSE	Not explicitly mentioned. IG start with 1 on 1 interview, but it only covers motivation, barriers, favourite activities and strategies to become more active.	FALSE	Not explicitly mentioned. Though ''human contact if needed'' is (introduction)	0	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	
1800	control	outpatient pulmonary rehab	FALSE	FALSE	67	70	365	435	TRUE	12m FU study.	COPD	NA	NA	NA	NA	TRUE	Only total percentage reported	NA	NA	NA	Only totals reported	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Only total reported 33,1 SD 94	NA	2	standardized usual care, hospital recruitment	high	NA	0	NA	NA	NA	FALSE	Not reported	FALSE	Not reported	TRUE	Not reported	FALSE	Not reported	FALSE	Not reported	0	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	
1800	treat1	home-based rele-rehab	FALSE	FALSE	67	70	365	435	TRUE	12m FU study.	COPD	NA	NA	NA	NA	TRUE	Only total percentage reported	NA	NA	NA	Only totals reported	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Only total reported 33,1 SD 94	NA	2	hospital recruitment, supervised tele-rehabilitation	high	NA	0	NA	NA	NA	FALSE	Not reported	FALSE	Not reported	TRUE	Not reported	FALSE	Not reported	FALSE	Not reported	0	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	
2003	control	outpatient pulmonary rehab	FALSE	FALSE	67	70	154	224	FALSE	NA	COPD	58	42	39	28	FALSE	NA	68,2	9,4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"""Never: 1 (1%); Former: 48 (72%); Current: 18 (27%)"""	44,5	17,3	NA	NA	33,7	8,4	NA	"""LTOT: 9 (13%)"""	2	standardized usual care, hospital recruitment	high	NA	0	NA	NA	NA	FALSE	criteria corresponded to the criteria for outpatient hospital-based routive PR	FALSE	control	FALSE	NA	FALSE	Not reported	FALSE	Not reported	0	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	
2003	treat1	home-based rele-rehab	FALSE	FALSE	67	70	154	224	FALSE	NA	COPD	52	48	35	32	FALSE	NA	68,4	8,7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"""Never: 2 (3%); Former: 51 (79%); Current: 12 (18%)"""	42,4	23,1	NA	NA	32,6	10,3	NA	"""LTOT: 11 (16%)"""	2	hospital recruitment, supervised tele-rehabilitation	high	NA	0	NA	NA	NA	FALSE	criteria corresponded to the criteria for outpatient hospital-based routive PR	TRUE	touch screen provision implied	TRUE	could check supps to be sure	FALSE	Not reported	FALSE	Not reported	0	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	
2667	control	usual care	FALSE	FALSE	173	0	365	365	TRUE	FU = intervention	COPD	30,2	69,8	49	113	FALSE	NA	66,6	9,6	NA	NA	26,1	6,3	NA	NA	NA	NA	NA	NA	"""Current: 34 (21,0%)"""	52	27	NA	NA	36,4	12,3	NA	"""LTOT: 118 (72,8%); HMV: 48 (29,6%)"""	2	standardized usual care, hospital recruitment	high	NA	0	NA	NA	NA	FALSE	no explicit exclusion or inclusion criteria for digital means, however phone-based interactive voice response system was used. Arguably not a 'digital' exclusion	FALSE	control	FALSE	NA	FALSE	control	FALSE	control	0	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	
2667	treat1	disease e-management	FALSE	FALSE	172	0	365	365	TRUE	FU = intervention	COPD	30,6	69,4	48	109	FALSE	NA	67,6	8,3	NA	NA	26,8	6,2	NA	NA	NA	NA	NA	NA	"""Current: 34 (21,7%)"""	52	28	NA	NA	37,8	12,4	NA	"""LTOT: 119 (75,8%); HMV: 39 (24,8%)"""	2	hospital recruitment, physician supervised monitoring	high	NA	0	NA	NA	NA	FALSE	no explicit exclusion or inclusion criteria for digital means, however phone-based interactive voice response system was used. Arguably not a 'digital' exclusion	FALSE	not reported/not required	TRUE	not reported/not required	FALSE	not reported/not required	FALSE	not reported/not required	0	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	
4337	control	regular homecare services	FALSE	FALSE	60	0	645	645	TRUE	FU = intervention	COPD	68	32	41	19	FALSE	NA	68,6	6,8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"""LTOT: 36 (60%); FVC: 28.5%"""	3	specific community care program (Service régional de soins à domicile)	high	NA	0	NA	NA	NA	TRUE	phoneline required	TRUE	viding patients with a touch screen with an integrated modem (TELUST)	FALSE	NA	FALSE	control	FALSE	control	0	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	
4337	treat1	remote care	FALSE	FALSE	60	0	645	645	TRUE	FU = intervention	COPD	68	32	41	19	FALSE	NA	67,8	6,4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"""LTOT: 37 (62%); FVC: 28.6%"""	3	specific community care program (Service régional de soins à domicile)	high	NA	0	NA	NA	NA	TRUE	phoneline required	TRUE	viding patients with a touch screen with an integrated modem (TELUST)	FALSE	NA	TRUE	patients were trained	TRUE	automated warning to case managing nurse when clinical questionnaire data not submitted	0	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	
