cov_nr,cov_nr_error_type,cov_nr_severity,arm,arm_error_type,arm_severity,arm_explanation,arm_explanation_error_type,arm_explanation_severity,needs_discussion_arm,needs_discussion_arm_error_type,needs_discussion_arm_severity,needs_discussion_arm_explanation,needs_discussion_arm_explanation_error_type,needs_discussion_arm_explanation_severity,n,n_error_type,n_severity,time_intervention_days,time_intervention_days_error_type,time_intervention_days_severity,time_followup_days,time_followup_days_error_type,time_followup_days_severity,time_total_days,time_total_days_error_type,time_total_days_severity,needs_discussion_time,needs_discussion_time_error_type,needs_discussion_time_severity,needs_discussion_time_explanation,needs_discussion_time_explanation_error_type,needs_discussion_time_explanation_severity,diagnosis,diagnosis_error_type,diagnosis_severity,gender_pct_female,gender_pct_female_error_type,gender_pct_female_severity,gender_pct_male,gender_pct_male_error_type,gender_pct_male_severity,gender_female_n,gender_female_n_error_type,gender_female_n_severity,gender_male_n,gender_male_n_error_type,gender_male_n_severity,needs_discussion_gender,needs_discussion_gender_error_type,needs_discussion_gender_severity,needs_discussion_gender_explanation,needs_discussion_gender_explanation_error_type,needs_discussion_gender_explanation_severity,age_mean,age_mean_error_type,age_mean_severity,age_sd,age_sd_error_type,age_sd_severity,age_se,age_se_error_type,age_se_severity,age_other,age_other_error_type,age_other_severity,bmi_mean,bmi_mean_error_type,bmi_mean_severity,bmi_sd,bmi_sd_error_type,bmi_sd_severity,bmi_other,bmi_other_error_type,bmi_other_severity,bp_systolic_mean,bp_systolic_mean_error_type,bp_systolic_mean_severity,bp_systolic_sd,bp_systolic_sd_error_type,bp_systolic_sd_severity,bp_diastolic_mean,bp_diastolic_mean_error_type,bp_diastolic_mean_severity,bp_diastolic_sd,bp_diastolic_sd_error_type,bp_diastolic_sd_severity,bp_other,bp_other_error_type,bp_other_severity,smoking_status,smoking_status_error_type,smoking_status_severity,pack_years_mean,pack_years_mean_error_type,pack_years_mean_severity,pack_years_sd,pack_years_sd_error_type,pack_years_sd_severity,pack_years_other,pack_years_other_error_type,pack_years_other_severity,smoking_status_other,smoking_status_other_error_type,smoking_status_other_severity,fev1_pct_mean,fev1_pct_mean_error_type,fev1_pct_mean_severity,fev1_pct_sd,fev1_pct_sd_error_type,fev1_pct_sd_severity,fev1_other,fev1_other_error_type,fev1_other_severity,disease_severity_other,disease_severity_other_error_type,disease_severity_other_severity,healthcare_setting,healthcare_setting_error_type,healthcare_setting_severity,healthcare_setting_explanation,healthcare_setting_explanation_error_type,healthcare_setting_explanation_severity,healthcare_setting_confidence,healthcare_setting_confidence_error_type,healthcare_setting_confidence_severity,healthcare_setting_confidence_explanation,healthcare_setting_confidence_explanation_error_type,healthcare_setting_confidence_explanation_severity,health_literacy,health_literacy_error_type,health_literacy_severity,health_literacy_instrument_name,health_literacy_instrument_name_error_type,health_literacy_instrument_name_severity,health_literacy_instrument_value,health_literacy_instrument_value_error_type,health_literacy_instrument_value_severity,health_literacy_instrument_other,health_literacy_instrument_other_error_type,health_literacy_instrument_other_severity,digital_strategy_excludes,digital_strategy_excludes_error_type,digital_strategy_excludes_severity,digital_strategy_excludes_explanation,digital_strategy_excludes_explanation_error_type,digital_strategy_excludes_explanation_severity,digital_strategy_provides_equipment,digital_strategy_provides_equipment_error_type,digital_strategy_provides_equipment_severity,digital_strategy_provides_equipment_explanation,digital_strategy_provides_equipment_explanation_error_type,digital_strategy_provides_equipment_explanation_severity,needs_discussion_equipment,needs_discussion_equipment_error_type,needs_discussion_equipment_severity,needs_discussion_equipment_explanation,needs_discussion_equipment_explanation_error_type,needs_discussion_equipment_explanation_severity,digital_strategy_provides_training,digital_strategy_provides_training_error_type,digital_strategy_provides_training_severity,digital_strategy_provides_training_explanation,digital_strategy_provides_training_explanation_error_type,digital_strategy_provides_training_explanation_severity,digital_strategy_provides_ongoing_support,digital_strategy_provides_ongoing_support_error_type,digital_strategy_provides_ongoing_support_severity,digital_strategy_provides_ongoing_support_explanation,digital_strategy_provides_ongoing_support_explanation_error_type,digital_strategy_provides_ongoing_support_explanation_severity,digital_literacy,digital_literacy_error_type,digital_literacy_severity,digital_literacy_possession,digital_literacy_possession_error_type,digital_literacy_possession_severity,digital_literacy_frequency,digital_literacy_frequency_error_type,digital_literacy_frequency_severity,digital_literacy_skills,digital_literacy_skills_error_type,digital_literacy_skills_severity,ses,ses_error_type,ses_severity,ses_income,ses_income_error_type,ses_income_severity,ses_living_situation,ses_living_situation_error_type,ses_living_situation_severity,ses_relationship_status,ses_relationship_status_error_type,ses_relationship_status_severity,ses_job_status,ses_job_status_error_type,ses_job_status_severity,ses_living_location,ses_living_location_error_type,ses_living_location_severity,educational_level,educational_level_error_type,educational_level_severity,educational_level_correction_note,ethnicity,ethnicity_error_type,ethnicity_severity,ethnicity_correction_note,_metadata,_metadata_error_type,_metadata_severity,n_correction_note,healthcare_setting_correction_note,ses_correction_note
469,none,none,treat1,none,none,12-week home rehabilitation with remote monitoring and weekly health coach calls,none,none,0,none,none,NA,none,none,188,none,none,84,none,none,84,none,none,168,none,none,0,none,none,NA,none,none,COPD,none,none,53.72,none,none,46.28,none,none,101,none,none,87,none,none,0,none,none,NA,none,none,69.335,none,none,9.53,none,none,NA,none,none,NA,none,none,28.561,none,none,7.144,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,Current: 8.7%,rule_misapplication,low,NA,none,none,NA,none,none,NA,none,none,NA,none,none,44.103,none,none,19.0,none,none,NA,none,none,CRQ_physical_mean: 3.8~CRQ_physical_sd: 1.18~CRQ_emotional_mean: 4.48~CRQ_emotional_sd: 1.18~CRQ_dyspnea_mean: 4.01~CRQ_dyspnea_sd: 1.42~CRQ_fatigue_mean: 3.57~CRQ_fatigue_sd: 1.2~CRQ_emotions_mean: 4.55~CRQ_emotions_sd: 1.17~CRQ_mastery_mean: 4.35~CRQ_mastery_sd: 1.41~mMRC_mean: 2.74~mMRC_sd: 0.82~SMAS_total_mean: 64.69~SMAS_total_sd: 12.87~PSQI_total_mean: 9.39~PSQI_total_sd: 3.58~other: PHQ-9 mean 6.11 (SD 4.8)~other: GAD2 mean 1.58 (SD 1.75)~steps_per_day_mean: 7148.66~steps_per_day_sd: 3108.48~light_physical_activity_min_mean: 493.35~light_physical_activity_min_sd: 116.38~moderate_physical_activity_min_mean: 82.63~moderate_physical_activity_min_sd: 61.7~total_sleep_time_min_mean: 82.63~total_sleep_time_min_sd: 61.7~LTOT_pct: 28.1%~other: long-acting bronchodilators: 150 (81.1%)~other: inhaled corticosteroids: 176 (95.1%)~other: long-term antibiotics: 49 (26.5%)~other: long-term prednisone: 43 (23.2%)~other: depression/anxiety meds: 75 (40.5%),none,none,2,none,none,home-based remote monitoring with weekly health coach calls; clinical responsibility lies with hospital pulmonology team at Mayo Clinic; participants recruited from outpatient clinics,none,none,moderate,none,none,"Step 1 split: clinical responsibility suggests 2 (hospital specialist), delivery location suggests 3 (home-based). Step 2 provider type (health coaches supervised by research team at Mayo) and recruitment source (outpatient clinics) confirmed 2.",none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,0,none,none,NA,none,none,1,none,none,"computer tablet with Wi-Fi/cellular, Garmin Vivofit activity monitor, and Nonin 3150 oximeter provided",none,none,0,none,none,NA,none,none,0,none,none,NA,none,none,0,none,none,NA,none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,1,none,none,"Income ≤$30,000: 30.1%",rule_misapplication,low,Living alone: 31.6%,rule_misapplication,low,Married: 58.6%,rule_misapplication,low,NA,none,none,NA,none,none,High school or less: 25.7%,rule_misapplication,low,"percentage extracted correctly, n reported but not extracted. Weird answers when recalculating n from percentages (suggesting missingness)",Hispanic or Latino: 1.1%~Not Hispanic or Latino: 96.3%~Unknown/not reported: 2.7%~White: 94.1%,rule_misapplication,low,"percentages extracted correctly, n reported but not extracted. Weird answers when recalculating n from percentages (suggesting missingness) ALSO SUM(percentage)>100, white reported separately.","{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:49:05.805865', 'study_info': {'n_arms': 2, 'arm_labels': ['control/wait', 'intervention now']}}",none,none,,,
469,none,none,control,none,none,12-week usual care with self-study educational packet,rule_misapplication,low,0,none,none,NA,none,none,187,none,none,84,none,none,84,none,none,168,none,none,0,none,none,NA,none,none,COPD,none,none,59.36,none,none,40.64,none,none,111,none,none,76,none,none,0,none,none,NA,none,none,68.676,none,none,9.53,none,none,NA,none,none,NA,none,none,29.129,none,none,7.307,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,Current: 7.3%,rule_misapplication,low,NA,none,none,NA,none,none,NA,none,none,NA,none,none,45.274,none,none,18.87,none,none,NA,none,none,CRQ_physical_mean: 3.94~CRQ_physical_sd: 1.13~CRQ_emotional_mean: 4.5~CRQ_emotional_sd: 1.19~CRQ_dyspnea_mean: 4.21~CRQ_dyspnea_sd: 1.42~CRQ_fatigue_mean: 3.62~CRQ_fatigue_sd: 1.18~CRQ_emotions_mean: 4.57~CRQ_emotions_sd: 1.19~CRQ_mastery_mean: 4.38~CRQ_mastery_sd: 1.4~mMRC_mean: 2.64~mMRC_sd: 0.86~SMAS_total_mean: 64.19~SMAS_total_sd: 12.69~PSQI_total_mean: 9.33~PSQI_total_sd: 3.52~other: PHQ-9 mean 6.02 (SD 5.44)~other: GAD2 mean 1.48 (SD 1.76)~steps_per_day_mean: 7117.01~steps_per_day_sd: 3212.03~light_physical_activity_min_mean: 493.98~light_physical_activity_min_sd: 101.73~moderate_physical_activity_min_mean: 85.77~moderate_physical_activity_min_sd: 71.26~total_sleep_time_min_mean: 85.77~total_sleep_time_min_sd: 71.26~LTOT_pct: 32.3%~other: long-acting bronchodilators: 144 (79.6%)~other: inhaled corticosteroids: 165 (91.7%)~other: long-term antibiotics: 38 (20.9%)~other: long-term prednisone: 34 (18.7%)~other: depression/anxiety meds: 75 (41.2%),none,none,2,none,none,usual care at outpatient clinics (recruitment sites Mayo Clinic and Health Partners),none,none,moderate,none,none,"Only recruitment source available (outpatient clinics, suggests 2). Clinical responsibility and delivery location not explicitly described for control arm; inherited from recruitment setting.",none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,0,none,none,NA,none,none,0,none,none,NA,rule_misapplication,low,0,none,none,NA,none,none,0,none,none,NA,none,none,0,none,none,NA,none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,1,none,none,"Income ≤$30,000: 33.7%",rule_misapplication,low,Living alone: 32.5%,rule_misapplication,low,Married: 60.4%,rule_misapplication,low,NA,none,none,NA,none,none,High school or less: 40.9%,rule_misapplication,low,"percentage extracted correctly, n reported but not extracted. Weird answers when recalculating n from percentages (suggesting missingness)",Hispanic or Latino: 0.5%~Not Hispanic or Latino: 96.8%~Unknown/not reported: 2.7%~White: 96.3%,rule_misapplication,low,"percentages extracted correctly, n reported but not extracted. Weird answers when recalculating n from percentages (suggesting missingness) ALSO SUM(percentage)>100, white reported separately.","{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:49:05.805865', 'study_info': {'n_arms': 2, 'arm_labels': ['control/wait', 'intervention now']}}",none,none,,,
1952,none,none,treat1,none,none,telehomecare (Telekit),none,none,0,none,none,NA,none,none,47,rule_misapplication,low,300,none,none,0,none,none,300,none,none,FALSE,rule_misapplication,low,NA,rule_misapplication,low,COPD,none,none,46.81,none,none,53.19,none,none,22,none,none,25,none,none,0,none,none,NA,none,none,70.2,none,none,9.06,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,130.4,none,none,18.1,none,none,75.6,none,none,8.9,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,46.6,none,none,15.6,none,none,NA,none,none,FVC_pct_mean: 66.6~FVC_pct_sd: 19.4~HR_mean: 73.3~HR_sd: 13.3,none,none,3,none,none,home-based telehomecare monitored by community nurses,none,none,moderate,none,none,Step 1 split: clinical responsibility shared between GP (primary care) and community nurses (community care); delivery location home-based (community care). Step 2 provider type (community nurses) confirmed community care. Coded 3.,none,none,2,none,none,TOFHLA,none,none,70.26,none,none,"SD 18.68; subscales: numeracy 37.26 (9.30), reading comprehension 33.00 (11.87)",none,none,1,none,none,have a phone connection,none,none,1,none,none,"tablet, blood pressure monitor, scale, pulse oximeter",none,none,0,none,none,NA,none,none,1,none,none,"nurse demonstrated tablet operation and physical measurements, went through manual",none,none,1,none,none,"follow-up session at 3-4 weeks, contact information for community nurse",none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,1,none,none,NA,none,none,Living alone: 40.43%~Married or living with a partner: 59.57%,rule_misapplication,low,NA,none,none,NA,none,none,NA,none,none,Elementary school: 36.17%~High school: 6.38%~Higher education: 12.77%~Skilled: 44.68%,rule_misapplication,low,"recalculated percentages, more accurate than reported! No n reported, but possible to calculate.",NA,none,none,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-08T00:12:45.874391'}",none,none,"this is the n from table 1, ITT strictly 60",,
1952,none,none,control,none,none,usual care,none,none,0,none,none,NA,none,none,43,rule_misapplication,low,300,none,none,0,none,none,300,none,none,FALSE,rule_misapplication,low,NA,rule_misapplication,low,COPD,none,none,58.14,none,none,41.86,none,none,25,none,none,18,none,none,0,none,none,NA,none,none,69.5,none,none,10.12,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,132.8,none,none,18.6,none,none,79.4,none,none,12.4,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,48.4,none,none,18.1,none,none,NA,none,none,FVC_pct_mean: 76.3~FVC_pct_sd: 16.6~HR_mean: 79.4~HR_sd: 13.4,none,none,1,none,none,usual care delivered by general practitioner and municipality nursing; participants recruited from GP lists,none,none,moderate,none,none,Only recruitment source (GP lists) available as signal; delivery location not explicitly described. Coded 1 based on GP responsibility.,none,none,2,none,none,TOFHLA,none,none,72.84,none,none,"SD 19.89; subscales: numeracy 36.95 (10.01), reading comprehension 35.88 (11.42)",none,none,1,none,none,have a phone connection (inclusion criterion for trial),none,none,0,none,none,NA,rule_misapplication,low,0,none,none,NA,none,none,0,none,none,NA,rule_misapplication,low,0,none,none,NA,rule_misapplication,low,0,none,none,NA,none,none,NA,none,none,NA,none,none,1,none,none,NA,none,none,Living alone: 60.47%~Married or living with a partner: 39.53%,rule_misapplication,low,NA,none,none,NA,none,none,NA,none,none,Elementary school: 18.60%~High school: 2.33%~Higher education: 20.93%~Skilled: 58.14%,rule_misapplication,low,"recalculated percentages, more accurate than reported! No n reported, but possible to calculate.",NA,none,none,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-08T00:12:45.874391'}",none,none,"this is the n from table 1, ITT strictly 60",,
2172,none,none,control,none,none,"usual care (no rehabilitation, no contact, only advice during hospital stay)",none,none,0,none,none,NA,none,none,15,none,none,30,none,none,0,none,none,30,none,none,0,none,none,NA,none,none,COPD,none,none,40.0,none,none,60.0,none,none,6,none,none,9,none,none,0,none,none,NA,none,none,68,none,none,6,none,none,NA,none,none,NA,none,none,29,none,none,5,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,48,none,none,18,none,none,NA,none,none,FEV1_FVC_ratio_mean: 47~FEV1_FVC_ratio_sd: 13~other: QF (Nm) mean: 112 (SD 28)~other: QF (% predicted) mean: 85 (SD 43)~6MWD_mean: 317~6MWD_sd: 95~6MWD_pct_pred_mean: 53~6MWD_pct_pred_sd: 16~other: Stops during 6MWD mean: 0.66 (SD 0.62)~other: Duration of stops (s) mean: 38 (SD 48)~steps_per_day_mean: 1557~steps_per_day_sd: 1319~other: PAwalk (minutes/day) mean: 20 (SD 17)~other: PAint (m/s2) mean: 1.34 (SD 0.50)~mMRC_median: 2~mMRC_iqr: 2-3~CAT_median: 19~CAT_iqr: 15-22,none,none,2,none,none,home-based pedometer and telephone counseling with hospital physiotherapist support; recruited from university hospital,hallucinated_value,high,moderate,hallucinated_value,high,"Step 1 split: clinical responsibility with hospital specialist (suggests 2), delivery at home (suggests 3). Step 2 provider type (hospital-employed physiotherapist delivers telephone counseling) confirmed 2.",hallucinated_value,high,0,none,none,NA,none,none,NA,none,none,NA,none,none,1,none,none,Ability to work with electronic devices required,none,none,0,none,none,NA,none,none,0,hallucinated_value,high,NA,hallucinated_value,high,0,none,none,NA,rule_misapplication,low,0,none,none,NA,none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,,NA,none,none,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:56:01.466738', 'study_info': {'n_arms': 2, 'arm_labels': ['Control', 'Intervention']}}",none,none,,,
2172,none,none,treat1,none,none,pedometer (Fitbit Ultra) with real-time feedback and telephone counseling 3x/week,none,none,0,none,none,NA,none,none,15,none,none,30,none,none,0,none,none,30,none,none,0,none,none,NA,none,none,COPD,none,none,46.67,none,none,53.33,none,none,7,none,none,8,none,none,0,none,none,NA,none,none,66,none,none,7,none,none,NA,none,none,NA,none,none,25,none,none,9,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,38,none,none,17,none,none,NA,none,none,FEV1_FVC_ratio_mean: 41~FEV1_FVC_ratio_sd: 14~other: QF (Nm) mean: 84 (SD 42)~other: QF (% predicted) mean: 71 (SD 38)~6MWD_mean: 235~6MWD_sd: 134~6MWD_pct_pred_mean: 36~6MWD_pct_pred_sd: 18~other: Stops during 6MWD mean: 1.23 (SD 0.92)~other: Duration of stops (s) mean: 81 (SD 61)~steps_per_day_mean: 1644~steps_per_day_sd: 2751~other: PAwalk (minutes/day) mean: 22 (SD 35)~other: PAint (m/s2) mean: 1.46 (SD 0.25)~mMRC_median: 3~mMRC_iqr: 2-3~CAT_median: 25~CAT_iqr: 13-28,none,none,2,none,none,home-based pedometer and telephone counseling with hospital physiotherapist support; recruited from university hospital,none,none,moderate,none,none,"Step 1 split: clinical responsibility with hospital specialist (suggests 2), delivery at home (suggests 3). Step 2 provider type (hospital-employed physiotherapist delivers telephone counseling) confirmed 2.",none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,1,none,none,Ability to work with electronic devices required,none,none,1,hallucinated_value,high,NA,hallucinated_value,high,0,hallucinated_value,high,NA,hallucinated_value,high,0,rule_misapplication,low,NA,rule_misapplication,low,0,none,none,NA,none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,,NA,none,none,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:56:01.466738', 'study_info': {'n_arms': 2, 'arm_labels': ['Control', 'Intervention']}}",none,none,,,
2815,none,none,treat1,none,none,telemonitoring,none,none,0,none,none,NA,none,none,101,none,none,180,none,none,540,none,none,720,none,none,0,none,none,NA,none,none,COPD,none,none,65.35,none,none,34.65,none,none,66,none,none,35,none,none,0,none,none,NA,none,none,69,none,none,8.3,none,none,NA,none,none,NA,none,none,23.0,none,none,5.0,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,Current: 31.68%~Never: 0.99%~Ex-smoker: 67.33%,rule_misapplication,low,NA,none,none,NA,none,none,NA,none,none,NA,none,none,38.7,none,none,14.1,none,none,NA,none,none,"GOLD_stage: Moderate: 18.81%, Severe: 54.46%, Very severe: 26.73%~other: MRC dyspnea score median 4 (range 2-5)~HADS_anxiety_mean: 12.1~HADS_anxiety_sd: 4.4~HADS_depression_mean: 10.1~HADS_depression_sd: 3.6~SGRQ_total_mean: 52.0~SGRQ_total_sd: 18.6~LTOT_pct: 47.1%~other: LTOT n=33",none,none,2,none,none,home-based telemonitoring with remote specialist support from hospital respiratory team,none,none,moderate,none,none,"Step 1 split: clinical responsibility lies with hospital specialists (suggests 2), but delivery is home-based (suggests 3). Step 2 provider type (hospital-employed respiratory nurses deliver monitoring) confirmed 2.",none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,0,none,none,NA,none,none,1,none,none,"home telemonitoring equipment (Tunstall) including pulse oximeter, heart rate monitor, lung function device, and weight scale",none,none,0,none,none,NA,none,none,1,none,none,instruction in use of TM equipment by respiratory nurse at home visit within 2 days after discharge,none,none,1,none,none,patients could contact staff for additional information; study nurse contacted patients in case of irregularities or lack of measurements,none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,1,none,none,NA,none,none,Lived alone: 47.52%~Lived with others: 52.48%,rule_misapplication,low,Widow/widower: 17.82%~Single: 13.86%~Divorced: 15.84%~Married/Partner: 52.48%,rule_misapplication,low,NA,none,none,NA,none,none,NA,none,none,,NA,none,none,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-08T00:05:06.074543', 'study_info': {'n_arms': 2, 'arm_labels': ['telemonitoring', 'control']}}",none,none,,,
2815,none,none,control,none,none,standard COPD treatment,none,none,0,none,none,NA,none,none,97,none,none,180,none,none,540,none,none,720,none,none,0,none,none,NA,none,none,COPD,none,none,56.7,none,none,43.3,none,none,55,none,none,42,none,none,0,none,none,NA,none,none,70,none,none,7.8,none,none,NA,none,none,NA,none,none,23.8,none,none,6.3,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,Current: 31.96%~Never: 1.03%~Ex-smoker: 67.01%,rule_misapplication,low,NA,none,none,NA,none,none,NA,none,none,NA,none,none,40.2,none,none,15.1,none,none,NA,none,none,"GOLD_stage: Moderate: 24.74%, Severe: 48.45%, Very severe: 26.80%~other: MRC dyspnea score median 4 (range 1-5)~HADS_anxiety_mean: 12.0~HADS_anxiety_sd: 4.3~HADS_depression_mean: 9.7~HADS_depression_sd: 3.4~SGRQ_total_mean: 52.4~SGRQ_total_sd: 21.2~LTOT_pct: 59.4%~other: LTOT n=38",none,none,2,none,none,usual care with follow-up at pulmonary outpatient clinic,none,none,high,none,none,NA,none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,0,none,none,NA,none,none,0,none,none,NA,rule_misapplication,low,0,none,none,NA,rule_misapplication,low,0,none,none,NA,rule_misapplication,low,0,none,none,NA,rule_misapplication,low,0,none,none,NA,none,none,NA,none,none,NA,none,none,1,none,none,NA,none,none,Lived alone: 28.87%~Lived with others: 71.13%,rule_misapplication,low,Widow/widower: 15.46%~Single: 7.22%~Divorced: 6.19%~Married/Partner: 70.10%,rule_misapplication,low,NA,none,none,NA,none,none,NA,none,none,,NA,none,none,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-08T00:05:06.074543', 'study_info': {'n_arms': 2, 'arm_labels': ['telemonitoring', 'control']}}",none,none,,,
3630,none,none,treat1,none,none,"Taking Healthy Steps (Internet-mediated, pedometer-based walking program)",none,none,0,none,none,NA,none,none,154,rule_misapplication,low,365,hallucinated_value,high,0,hallucinated_value,high,365,none,none,0,rule_misapplication,low,NA,rule_misapplication,low,COPD,none,none,5.19,none,none,94.81,none,none,8,none,none,146,none,none,0,none,none,NA,none,none,67,none,none,8.6,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,Current: 26.62%,rule_misapplication,low,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,"SGRQ_symptoms_mean: 57.2~SGRQ_symptoms_sd: 19.1~SGRQ_activity_mean: 62.3~SGRQ_activity_sd: 20.2~SGRQ_impact_mean: 32.2~SGRQ_impact_sd: 16.5~SGRQ_total_mean: 45.6~SGRQ_total_sd: 15.4~MMRC_distribution: 0-1: 70.13%, 2-4: 29.87%~oxygen_use_pct: 22.73%~baseline_daily_step_count_mean: 3488~baseline_daily_step_count_sd: 2316",none,none,3,none,none,"home-based, Internet-mediated walking program; no face-to-face encounters with staff; all features delivered via website",none,none,moderate,none,none,"Step 1: clinical responsibility not explicitly stated; delivery location is home-based (suggests 3). Step 2: no human provider delivers the intervention; all features are automated via website (confirms 3). Alternative: 1 if GP retained clinical responsibility, but not described.",none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,1,none,none,"having access to a computer with an Internet connection, a USB port, and Windows XP, Vista, Windows 7, or Windows 8",none,none,0,hallucinated_value,high,NA,hallucinated_value,high,0,rule_misapplication,low,NA,rule_misapplication,low,1,none,none,detailed written instructions on how to install the Java software and upload pedometer data; research staff available by telephone to assist with software installation and upload of step counts,none,none,1,none,none,research staff were available by telephone to assist with software installation and upload of step counts,none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,1,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,Urban: 53.90%~Rural: 46.10%,rule_misapplication,low,NA,none,none,,Hispanic: 3.25%~Black: 4.55%~White: 92.21%~Other: 3.25%,none,none,no n extracted,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:58:23.731895', 'study_info': {'n_arms': 2, 'arm_labels': ['Taking Healthy Steps', 'wait-list control']}}",none,none,"correct from table 2, strictly ITT is 155",,
3630,none,none,control,none,none,wait-list control (pedometer alone),none,none,0,none,none,NA,none,none,84,none,none,365,hallucinated_value,high,0,hallucinated_value,high,365,none,none,0,rule_misapplication,low,NA,rule_misapplication,low,COPD,none,none,8.33,none,none,91.67,none,none,7,none,none,77,none,none,0,none,none,NA,none,none,66.4,none,none,9.2,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,Current: 21.43%,rule_misapplication,low,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,"SGRQ_symptoms_mean: 56~SGRQ_symptoms_sd: 19.9~SGRQ_activity_mean: 64.2~SGRQ_activity_sd: 18~SGRQ_impact_mean: 34.1~SGRQ_impact_sd: 17.9~SGRQ_total_mean: 46.8~SGRQ_total_sd: 15.6~MMRC_distribution: 0-1: 67.86%, 2-4: 32.14%~oxygen_use_pct: 25.00%~baseline_daily_step_count_mean: 3521~baseline_daily_step_count_sd: 2058",none,none,3,none,none,"home-based, pedometer-only; no face-to-face encounters with staff; all features delivered via website",none,none,moderate,none,none,"Step 1: clinical responsibility not explicitly stated; delivery location is home-based (suggests 3). Step 2: no human provider delivers the intervention; all features are automated via website (confirms 3). Alternative: 1 if GP retained clinical responsibility, but not described.",none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,1,none,none,"having access to a computer with an Internet connection, a USB port, and Windows XP, Vista, Windows 7, or Windows 8",none,none,0,hallucinated_value,high,NA,hallucinated_value,high,0,rule_misapplication,low,NA,rule_misapplication,low,1,none,none,detailed written instructions on how to install the Java software and upload pedometer data; research staff available by telephone to assist with software installation and upload of step counts,none,none,1,none,none,research staff were available by telephone to assist with software installation and upload of step counts,none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,1,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,Urban: 55.95%~Rural: 44.05%,rule_misapplication,low,NA,none,none,,Hispanic: 1.19%~Black: 3.57%~White: 94.05%~Other: 2.38%,none,none,no n extracted,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:58:23.731895', 'study_info': {'n_arms': 2, 'arm_labels': ['Taking Healthy Steps', 'wait-list control']}}",none,none,,,
