field_name,cov_nr,arm,run_a_na,run_b_na
time_followup_days,2391,control,False,True
time_followup_days,2391,treat1,False,True
time_total_days,2391,control,False,True
time_total_days,2391,treat1,False,True
gender_pct_female,1800,control,True,False
gender_pct_female,1800,treat1,True,False
gender_pct_male,1800,control,True,False
gender_pct_male,1800,treat1,True,False
gender_female_n,1800,control,True,False
gender_female_n,1800,treat1,True,False
gender_male_n,1800,control,True,False
gender_male_n,1800,treat1,True,False
age_mean,1800,control,True,False
age_mean,1800,treat1,True,False
age_mean,2391,control,True,False
age_mean,2391,treat1,True,False
age_sd,1800,control,True,False
age_sd,1800,treat1,True,False
age_other,1800,control,False,True
age_other,1800,treat1,False,True
age_other,4337,control,True,False
age_other,4337,treat1,True,False
bmi_other,5777,control,True,False
bmi_other,5777,treat1,True,False
smoking_status,1800,control,True,False
smoking_status,1800,treat1,True,False
smoking_status_other,0469,control,True,False
smoking_status_other,0469,treat1,True,False
smoking_status_other,1228,control,True,False
smoking_status_other,1228,treat1,True,False
smoking_status_other,2125,control,True,False
smoking_status_other,2125,treat1,True,False
fev1_pct_mean,1800,control,True,False
fev1_pct_mean,1800,treat1,True,False
fev1_pct_mean,4337,control,True,False
fev1_pct_mean,4337,treat1,True,False
fev1_pct_sd,1800,control,True,False
fev1_pct_sd,1800,treat1,True,False
fev1_other,1288,control,False,True
fev1_other,1288,treat1,False,True
fev1_other,1800,control,False,True
fev1_other,1800,treat1,False,True
fev1_other,2391,control,True,False
fev1_other,2391,treat1,True,False
disease_severity_other,4727,control,True,False
disease_severity_other,4727,treat1,True,False
healthcare_setting_confidence_explanation,0157,control,False,True
healthcare_setting_confidence_explanation,0157,treat1,False,True
healthcare_setting_confidence_explanation,0464,control,False,True
healthcare_setting_confidence_explanation,0464,treat1,False,True
healthcare_setting_confidence_explanation,0602,control,True,False
healthcare_setting_confidence_explanation,0641,control,False,True
healthcare_setting_confidence_explanation,1952,control,False,True
healthcare_setting_confidence_explanation,1952,treat1,False,True
healthcare_setting_confidence_explanation,2125,control,True,False
healthcare_setting_confidence_explanation,2391,treat1,True,False
healthcare_setting_confidence_explanation,2667,control,True,False
healthcare_setting_confidence_explanation,2821,control,False,True
healthcare_setting_confidence_explanation,3116,treat1,True,False
healthcare_setting_confidence_explanation,4104,control,False,True
healthcare_setting_confidence_explanation,4104,treat2,False,True
healthcare_setting_confidence_explanation,4106,treat1,True,False
healthcare_setting_confidence_explanation,4123,control,True,False
healthcare_setting_confidence_explanation,4345,control,True,False
healthcare_setting_confidence_explanation,4724,control,False,True
healthcare_setting_confidence_explanation,4727,control,False,True
healthcare_setting_confidence_explanation,4736,control,False,True
healthcare_setting_confidence_explanation,4736,treat1,False,True
healthcare_setting_confidence_explanation,5203,treat1,True,False
healthcare_setting_confidence_explanation,5563,control,True,False
healthcare_setting_confidence_explanation,5660,control,True,False
healthcare_setting_confidence_explanation,5973,control,False,True
healthcare_setting_confidence_explanation,6039,control,False,True
healthcare_setting_confidence_explanation,6039,treat1,False,True
health_literacy_instrument_name,0474,control,False,True
health_literacy_instrument_name,0474,treat1,False,True
health_literacy_instrument_name,0825,control,True,False
health_literacy_instrument_name,0825,treat1,True,False
health_literacy_instrument_name,4104,control,False,True
health_literacy_instrument_name,4104,treat1,False,True
health_literacy_instrument_name,4104,treat2,False,True
health_literacy_instrument_name,4345,control,False,True
health_literacy_instrument_name,4345,treat1,False,True
health_literacy_instrument_name,4475,control,False,True
health_literacy_instrument_name,4475,treat1,False,True
health_literacy_instrument_name,6159,control,True,False
health_literacy_instrument_name,6159,treat1,True,False
