field_name,bucket,n_total,n_compared,n_both_na,n_one_na,primary_metric,primary_value,secondary_metric,secondary_value,tertiary_metric,tertiary_value,flagged,flag_reason
arm_explanation,free_text,134,134,0,0,token_f1,0.7133,,,,,False,
n,numerical,134,134,0,0,icc_2_1,1.0,na_concordance_rate,1.0,,,False,
time_intervention_days,numerical,134,128,6,0,icc_2_1,0.9494,na_concordance_rate,1.0,,,False,
time_followup_days,numerical,134,128,4,2,icc_2_1,0.8928,na_concordance_rate,0.6667,,,True,icc_2_1=0.893 < 0.9
time_total_days,numerical,134,128,4,2,icc_2_1,0.9872,na_concordance_rate,0.6667,,,True,na_concordance_rate=0.667 < 0.95
diagnosis,structured_string_array,134,134,0,0,key_jaccard,0.9851,value_agreement_on_matched_keys,1.0,,,False,
gender_pct_female,numerical,134,128,4,2,icc_2_1,1.0,na_concordance_rate,0.6667,,,True,na_concordance_rate=0.667 < 0.95
gender_pct_male,numerical,134,128,4,2,icc_2_1,1.0,na_concordance_rate,0.6667,,,True,na_concordance_rate=0.667 < 0.95
gender_female_n,numerical,134,128,4,2,icc_2_1,1.0,na_concordance_rate,0.6667,,,True,na_concordance_rate=0.667 < 0.95
gender_male_n,numerical,134,128,4,2,icc_2_1,1.0,na_concordance_rate,0.6667,,,True,na_concordance_rate=0.667 < 0.95
age_mean,numerical,134,124,6,4,icc_2_1,1.0,na_concordance_rate,0.6,,,True,na_concordance_rate=0.600 < 0.95
age_sd,numerical,134,113,19,2,icc_2_1,1.0,na_concordance_rate,0.9048,,,True,na_concordance_rate=0.905 < 0.95
age_se,numerical,134,9,125,0,icc_2_1,1.0,na_concordance_rate,1.0,,,False,
age_other,free_text,134,12,118,4,token_f1,0.7211,,,,,False,
bmi_mean,numerical,134,69,65,0,icc_2_1,1.0,na_concordance_rate,1.0,,,False,
bmi_sd,numerical,134,60,74,0,icc_2_1,1.0,na_concordance_rate,1.0,,,False,
bmi_other,free_text,134,9,123,2,token_f1,0.7222,,,,,False,
bp_systolic_mean,numerical,134,9,125,0,icc_2_1,1.0,na_concordance_rate,1.0,,,False,
bp_systolic_sd,numerical,134,9,125,0,icc_2_1,1.0,na_concordance_rate,1.0,,,False,
bp_diastolic_mean,numerical,134,9,125,0,icc_2_1,1.0,na_concordance_rate,1.0,,,False,
bp_diastolic_sd,numerical,134,9,125,0,icc_2_1,1.0,na_concordance_rate,1.0,,,False,
bp_other,free_text,134,2,132,0,token_f1,0.1333,,,,,False,
smoking_status,structured_string_array,134,77,55,2,key_jaccard,0.7351,value_agreement_on_matched_keys,0.7639,,,True,key_jaccard=0.735 < 0.85
pack_years_mean,numerical,134,24,110,0,icc_2_1,1.0,na_concordance_rate,1.0,,,False,
pack_years_sd,numerical,134,24,110,0,icc_2_1,1.0,na_concordance_rate,1.0,,,False,
pack_years_other,free_text,134,2,132,0,token_f1,0.3636,,,,,False,
smoking_status_other,free_text,134,15,113,6,token_f1,0.2422,,,,,False,
fev1_pct_mean,numerical,134,102,28,4,icc_2_1,1.0,na_concordance_rate,0.875,,,True,na_concordance_rate=0.875 < 0.95
fev1_pct_sd,numerical,134,98,34,2,icc_2_1,1.0,na_concordance_rate,0.9444,,,True,na_concordance_rate=0.944 < 0.95
fev1_other,free_text,134,8,120,6,token_f1,0.5312,,,,,False,
disease_severity_other,structured_string_array,134,126,6,2,key_jaccard,0.671,value_agreement_on_matched_keys,0.8702,,,True,key_jaccard=0.671 < 0.85
