field_name,cov_nr,arm,llm_value,prior_value,adjudication,adjudicator_note
n,0464,treat1,28.0,23.0,,
n,0469,control,187.0,143.0,,
n,0469,treat1,188.0,142.0,,
n,0474,control,74.0,63.0,,
n,0474,treat1,72.0,56.0,,
n,0498,control,56.0,35.0,,
n,0498,treat1,56.0,45.0,,
n,0558,control,44.0,40.0,,
n,0558,treat1,43.0,36.0,,
n,0641,control,30.0,27.0,,
n,0641,treat1,30.0,25.0,,
n,0792,control,27.0,17.0,,
n,0792,treat1,27.0,18.0,,
n,0825,control,52.0,40.0,,
n,0825,treat1,51.0,22.0,,
n,1067,control,71.0,49.0,,
n,1067,treat1,71.0,47.0,,
n,1080,control,31.0,30.0,,
n,1080,treat1,29.0,24.0,,
n,1228,control,172.0,159.0,,
n,1228,treat1,171.0,159.0,,
n,1400,control,3931.0,4744.0,,
n,1400,treat1,210.0,689.0,,
n,1537,control,56.0,55.0,,
n,1672,control,48.0,40.0,,
n,1672,treat1,46.0,41.0,,
n,2172,treat1,15.0,12.0,,
n,2430,control,30.0,25.0,,
n,2430,treat1,32.0,27.0,,
n,2793,control,20.0,19.0,,
n,2793,treat1,20.0,19.0,,
n,2815,control,97.0,53.0,,
n,2815,treat1,101.0,56.0,,
n,3089,control,50.0,49.0,,
n,3089,treat1,50.0,47.0,,
n,3089,treat2,50.0,44.0,,
n,3116,control,647.0,316.0,,
n,3116,treat1,578.0,258.0,,
n,3182,control,37.0,35.0,,
n,3182,treat1,36.0,30.0,,
n,3535,control,58.0,52.0,,
n,3535,treat1,58.0,49.0,,
n,4104,control,41.0,37.0,,
n,4104,treat1,43.0,35.0,,
n,4104,treat2,41.0,38.0,,
n,4108,control,8.0,9.0,,
n,4108,treat1,9.0,8.0,,
n,4727,control,244.0,172.0,,
n,4727,treat1,334.0,275.0,,
n,4876,control,57.0,33.0,,
n,4876,treat1,57.0,39.0,,
n,4876,treat2,59.0,37.0,,
n,4986,treat1,22.0,21.0,,
n,5232,control,40.0,33.0,,
n,5232,treat1,41.0,36.0,,
n,5232,treat2,41.0,35.0,,
n,5737,control,73.0,59.0,,
n,5737,treat1,84.0,62.0,,
n,5973,control,44.0,20.0,,
n,5973,treat1,42.0,23.0,,
n,6159,control,40.0,38.0,,
n,6159,treat1,40.0,37.0,,
time_total_days,0464,control,236.0,180.0,,
time_total_days,0464,treat1,236.0,180.0,,
time_total_days,0469,control,168.0,84.0,,
time_total_days,0469,treat1,168.0,84.0,,
time_total_days,0474,control,236.0,56.0,,
time_total_days,0474,treat1,236.0,56.0,,
time_total_days,0498,control,180.0,120.0,,
time_total_days,0498,treat1,180.0,120.0,,
time_total_days,1080,control,90.0,84.0,,
time_total_days,1080,treat1,90.0,84.0,,
time_total_days,1288,control,300.0,120.0,,
time_total_days,1288,treat1,300.0,120.0,,
time_total_days,1800,control,434.0,365.0,,
time_total_days,1800,treat1,434.0,365.0,,
time_total_days,2815,control,720.0,730.0,,
time_total_days,2815,treat1,720.0,730.0,,
time_total_days,3048,control,364.0,365.0,,
time_total_days,3048,treat1,364.0,365.0,,
time_total_days,4337,control,283.0,365.0,,
time_total_days,4337,treat1,283.0,365.0,,
time_total_days,5232,control,182.0,180.0,,
time_total_days,5232,treat1,182.0,180.0,,
time_total_days,5232,treat2,182.0,180.0,,
time_total_days,5343,control,28.0,21.0,,
time_total_days,5343,treat1,28.0,21.0,,
time_total_days,5660,control,420.0,365.0,,
time_total_days,5660,treat1,420.0,365.0,,
time_total_days,5660,treat2,420.0,365.0,,
time_total_days,5737,control,360.0,365.0,,
time_total_days,5737,treat1,360.0,365.0,,
time_total_days,5973,control,420.0,365.0,,
time_total_days,5973,treat1,420.0,365.0,,
diagnosis,0498,control,"[('COPD', ''), ('CHF', '')]","[('COPD+', '')]",,
diagnosis,0498,treat1,"[('COPD', ''), ('CHF', '')]","[('COPD+', '')]",,
diagnosis,1067,control,"[('COPD', '50 (70.42%)'), ('ILD', '6 (8.45%)'), ('Bronchiectasis', '9 (12.68%)'), ('Asthma', '6 (8.45%)')]","[('COPD', '')]",,
diagnosis,1067,treat1,"[('COPD', '50 (70.42%)'), ('ILD', '5 (7.04%)'), ('Bronchiectasis', '10 (14.08%)'), ('Asthma', '6 (8.45%)')]","[('COPD', '')]",,
gender_pct_female,0464,treat1,57.14,57.1,,
gender_pct_female,0469,control,59.36,59.4,,
gender_pct_female,0469,treat1,53.72,53.7,,
