field_name,cov_nr,arm,llm_value,gold_value,adjudication,adjudicator_note
n,2667,control,162.0,173.0,,
n,2667,treat1,157.0,172.0,,
time_intervention_days,2667,control,365.0,0.0,,
time_intervention_days,2667,treat1,365.0,0.0,,
time_intervention_days,4337,control,178.0,0.0,,
time_intervention_days,4337,treat1,178.0,0.0,,
time_followup_days,1800,control,364.0,365.0,,
time_followup_days,1800,treat1,364.0,365.0,,
time_followup_days,2003,control,84.0,154.0,,
time_followup_days,2003,treat1,84.0,154.0,,
time_followup_days,2667,control,0.0,365.0,,
time_followup_days,2667,treat1,0.0,365.0,,
time_followup_days,4337,control,105.0,645.0,,
time_followup_days,4337,treat1,105.0,645.0,,
time_total_days,1800,control,434.0,435.0,,
time_total_days,1800,treat1,434.0,435.0,,
time_total_days,2003,control,154.0,224.0,,
time_total_days,2003,treat1,154.0,224.0,,
time_total_days,4337,control,283.0,645.0,,
time_total_days,4337,treat1,283.0,645.0,,
diagnosis,1228,control,"[('COPD', '')]","[(""('COPD', '')"", '')]",,
diagnosis,1228,treat1,"[('COPD', '')]","[(""('COPD', '')"", '')]",,
diagnosis,1800,control,"[('COPD', '')]","[(""('COPD', '')"", '')]",,
diagnosis,1800,treat1,"[('COPD', '')]","[(""('COPD', '')"", '')]",,
diagnosis,2003,control,"[('COPD', '')]","[(""('COPD', '')"", '')]",,
diagnosis,2003,treat1,"[('COPD', '')]","[(""('COPD', '')"", '')]",,
diagnosis,2667,control,"[('COPD', '')]","[(""('COPD', '')"", '')]",,
diagnosis,2667,treat1,"[('COPD', '')]","[(""('COPD', '')"", '')]",,
diagnosis,4337,control,"[('COPD', '')]","[(""('COPD', '')"", '')]",,
diagnosis,4337,treat1,"[('COPD', '')]","[(""('COPD', '')"", '')]",,
gender_pct_female,1228,control,37.21,37.0,,
gender_pct_female,1228,treat1,35.09,35.0,,
gender_pct_female,2003,control,58.21,58.0,,
gender_pct_female,2003,treat1,52.24,52.0,,
gender_pct_female,2667,control,30.25,30.2,,
gender_pct_female,2667,treat1,30.57,30.6,,
gender_pct_female,4337,control,68.33,68.0,,
gender_pct_female,4337,treat1,68.33,68.0,,
gender_pct_male,1228,control,62.79,63.0,,
gender_pct_male,1228,treat1,64.91,65.0,,
gender_pct_male,2003,control,41.79,42.0,,
gender_pct_male,2003,treat1,47.76,48.0,,
gender_pct_male,2667,control,69.75,69.8,,
gender_pct_male,2667,treat1,69.43,69.4,,
