field_name,bucket,n_total,n_compared,n_both_na,n_one_na,undersampled,primary_metric,primary_value,secondary_metric,secondary_value,tertiary_metric,tertiary_value,flagged,flag_reason,one_na_llm_cov_nrs,one_na_gold_cov_nrs
arm_explanation,free_text,10,10,0,0,False,token_f1,0.1776,,,,,False,,,
n,numerical,10,10,0,0,False,icc_2_1,0.9941,na_concordance_rate,1.0,,,False,,,
time_intervention_days,numerical,10,10,0,0,False,icc_2_1,-0.3087,na_concordance_rate,1.0,,,True,icc_2_1=-0.309 < 0.9,,
time_followup_days,numerical,10,10,0,0,False,icc_2_1,0.1868,na_concordance_rate,1.0,,,True,icc_2_1=0.187 < 0.9,,
time_total_days,numerical,10,10,0,0,False,icc_2_1,0.5766,na_concordance_rate,1.0,,,True,icc_2_1=0.577 < 0.9,,
diagnosis,structured_string_array,10,10,0,0,False,key_jaccard,0.0,value_agreement_on_matched_keys,,,,True,key_jaccard=0.000 < 0.85,,
gender_pct_female,numerical,10,8,2,0,False,icc_2_1,0.9999,na_concordance_rate,1.0,,,False,,,
gender_pct_male,numerical,10,8,2,0,False,icc_2_1,0.9999,na_concordance_rate,1.0,,,False,,,
gender_female_n,numerical,10,8,2,0,False,icc_2_1,0.9811,na_concordance_rate,1.0,,,False,,,
gender_male_n,numerical,10,8,2,0,False,icc_2_1,0.9991,na_concordance_rate,1.0,,,False,,,
age_mean,numerical,10,8,2,0,False,icc_2_1,0.9934,na_concordance_rate,1.0,,,False,,,
age_sd,numerical,10,8,2,0,False,icc_2_1,0.9828,na_concordance_rate,1.0,,,False,,,
age_se,numerical,10,0,10,0,True,icc_2_1,,na_concordance_rate,,,,False,,,
age_other,free_text,10,2,8,0,True,token_f1,0.0,,,,,False,,,
bmi_mean,numerical,10,4,4,2,True,icc_2_1,1.0,na_concordance_rate,0.6667,,,True,na_concordance_rate=0.667 < 0.95,,2003
bmi_sd,numerical,10,4,4,2,True,icc_2_1,1.0,na_concordance_rate,0.6667,,,True,na_concordance_rate=0.667 < 0.95,,2003
bmi_other,free_text,10,0,10,0,True,token_f1,,,,,,False,,,
bp_systolic_mean,numerical,10,0,10,0,True,icc_2_1,,na_concordance_rate,,,,False,,,
bp_systolic_sd,numerical,10,0,10,0,True,icc_2_1,,na_concordance_rate,,,,False,,,
bp_diastolic_mean,numerical,10,0,10,0,True,icc_2_1,,na_concordance_rate,,,,False,,,
