field_name,n_arms,n_reported,n_na,n_no_error,n_minor_error,n_major_error,n_any_error
age_mean,21,21,0,21,0,0,0
age_other,21,0,21,21,0,0,0
age_sd,21,19,2,21,0,0,0
age_se,21,2,19,21,0,0,0
bmi_mean,21,10,11,21,0,0,0
bmi_other,21,3,18,21,0,0,0
bmi_sd,21,10,11,21,0,0,0
bp_diastolic_mean,21,5,16,21,0,0,0
bp_diastolic_sd,21,5,16,21,0,0,0
bp_other,21,0,21,21,0,0,0
bp_systolic_mean,21,5,16,21,0,0,0
bp_systolic_sd,21,5,16,21,0,0,0
diagnosis,21,21,0,21,0,0,0
digital_literacy,21,21,0,21,0,0,0
digital_literacy_frequency,21,0,21,21,0,0,0
digital_literacy_possession,21,2,19,21,0,0,0
digital_literacy_skills,21,3,18,18,3,0,3
digital_strategy_excludes,21,21,0,21,0,0,0
digital_strategy_provides_equipment,21,21,0,17,0,4,4
digital_strategy_provides_ongoing_support,21,21,0,21,0,0,0
digital_strategy_provides_training,21,21,0,20,1,0,1
educational_level,21,6,15,15,4,2,6
ethnicity,21,8,13,17,4,0,4
fev1_other,21,3,18,21,0,0,0
fev1_pct_mean,21,14,7,21,0,0,0
fev1_pct_sd,21,14,7,21,0,0,0
gender_female_n,21,21,0,21,0,0,0
gender_male_n,21,21,0,21,0,0,0
gender_pct_female,21,21,0,21,0,0,0
gender_pct_male,21,21,0,21,0,0,0
health_literacy,21,21,0,21,0,0,0
health_literacy_instrument_name,21,6,15,21,0,0,0
health_literacy_instrument_other,21,6,15,21,0,0,0
health_literacy_instrument_value,21,6,15,21,0,0,0
healthcare_setting,21,21,0,20,0,1,1
n,21,21,0,17,4,0,4
pack_years_mean,21,0,21,21,0,0,0
pack_years_other,21,0,21,21,0,0,0
pack_years_sd,21,0,21,21,0,0,0
ses,21,21,0,14,7,0,7
ses_income,21,2,19,19,2,0,2
ses_job_status,21,2,19,21,0,0,0
ses_living_location,21,2,19,19,2,0,2
ses_living_situation,21,6,15,12,9,0,9
ses_relationship_status,21,6,15,17,4,0,4
smoking_status,21,13,8,12,9,0,9
time_total_days,21,21,0,21,0,0,0
