variable,col_key,reference,metric,trial_mean,ref_mean,sd_used,value,se,ci_lower,ci_upper
Mean age (years),age_mean,eclipse,smd,69.7873022947926,63.4,8.558663477736754,0.746296698241213,0.08383362271665241,0.5819827977165744,0.9106105987658517
Mean age (years),age_mean,adelphi,smd,69.7873022947926,66.2,9.751447099028175,0.3678738405041547,0.07357920908199168,0.22365859070345104,0.5120890903048584
Mean age (years),age_mean,nijmegen,smd,69.7873022947926,65.5,9.457839104422584,0.4533067487675709,0.07586339300441927,0.3046144984789091,0.6019989990562327
Mean age (years),age_mean,nijmegen_rehab,smd,69.7873022947926,62.1,8.642379332402912,0.8894891093209201,0.08302155429133216,0.726766862909909,1.052211355731931
% Female,gender_pct_female,eclipse,cohens_h,46.036645001095444,34.7061545581,,0.2315090021053352,0.0502015569397225,0.1331139505034791,0.32990405370719134
% Female,gender_pct_female,adelphi,cohens_h,46.036645001095444,33.2,,0.26331641094810343,0.0502015569397225,0.16492135934624733,0.36171146254995956
% Female,gender_pct_female,nijmegen,cohens_h,46.036645001095444,22.0,,0.5150354549609991,0.0502015569397225,0.416640403359143,0.6134305065628552
% Female,gender_pct_female,nijmegen_rehab,cohens_h,46.036645001095444,32.1,,0.28677470036469366,0.0502015569397225,0.18837964876283755,0.3851697519665498
FEV1% predicted,fev1_pct_mean,eclipse,smd,47.510788995456835,48.3,16.733432027724337,-0.047163726080554136,0.0631532735113162,-0.17094414216273388,0.0766166900016256
FEV1% predicted,fev1_pct_mean,adelphi,smd,47.510788995456835,63.0,16.82818312909836,-0.9204327576968235,0.06279768894376861,-1.04351622802661,-0.797349287367037
FEV1% predicted,fev1_pct_mean,nijmegen,smd,47.510788995456835,51.6,15.737463182688327,-0.25983927378088606,0.06715002267915535,-0.39145331823203056,-0.1282252293297416
FEV1% predicted,fev1_pct_mean,nijmegen_rehab,smd,47.510788995456835,35.0,15.481852196248052,0.8080938144138051,0.06825869387165423,0.6743067744253628,0.9418808544022474
BMI (kg/m2),bmi_mean,eclipse,smd,26.46234685277851,26.5,5.7937766842299565,-0.006498895154861349,0.07352763435772675,-0.15061305849600576,0.13761526818628306
BMI (kg/m2),bmi_mean,adelphi,smd,26.46234685277851,26.5,5.154400863992504,-0.007305048290777539,0.08264834358622407,-0.16929580171977673,0.15468570513822164
BMI (kg/m2),bmi_mean,nijmegen,smd,26.46234685277851,25.6,5.0722626377906215,0.17001226363036465,0.0839867183561183,0.005398295652372764,0.33462623160835653
BMI (kg/m2),bmi_mean,nijmegen_rehab,smd,26.46234685277851,24.4,5.11300775148314,0.40335296815857197,0.08331743550844632,0.24005079456201717,0.5666551417551268
